Starting packet inspection in foreground
Source IP            Destination IP       Protocol   Source Port     Destination Port
--------------------------------------------------------------------------------
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        10.126.136.6         UDP        56117           53             
10.126.136.6         10.114.18.159        UDP        53              56117          
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.224.12        10.114.18.159        TCP        22              51522          
10.114.18.159        10.114.224.12        TCP        51522           22             
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
10.114.18.159        3.33.164.42          TCP        61197           443            
3.33.164.42          10.114.18.159        TCP        443             61197          
10.114.18.159        3.33.164.42          TCP        61197           443            
44.229.222.36        10.114.18.159        TCP        443             51213          
10.114.18.159        44.229.222.36        TCP        51213           443            
10.114.18.159        3.128.215.139        TCP        60027           443            
10.114.18.159        3.128.215.139        TCP        60027           443            
10.114.18.159        10.126.136.6         UDP        55053           53             
10.126.136.6         10.114.18.159        UDP        53              55053          
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        128.203.87.177       TCP        61196           443            
3.128.215.139        10.114.18.159        TCP        443             60027          
10.114.18.159        1.1.1.1              ICMP       N/A             N/A            
3.128.215.139        10.114.18.159        TCP        443             60027          
10.114.18.159        3.128.215.139        TCP        60027           443            
3.128.215.139        10.114.18.159        TCP        443             60027          
10.114.18.159        3.128.215.139        TCP        60027           443            
1.1.1.1              10.114.18.159        ICMP       N/A             N/A            
3.140.85.105         10.114.18.159        TCP        443             61198          
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
128.203.87.177       10.114.18.159        TCP        443             61196          
128.203.87.177       10.114.18.159        TCP        443             61196          
128.203.87.177       10.114.18.159        TCP        443             61196          
10.114.18.159        128.203.87.177       TCP        61196           443            
3.140.85.105         10.114.18.159        TCP        443             61198          
3.140.85.105         10.114.18.159        TCP        443             61198          
10.114.18.159        3.140.85.105         TCP        61198           443            
3.140.85.105         10.114.18.159        TCP        443             61198          
3.140.85.105         10.114.18.159        TCP        443             61198          
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
3.140.85.105         10.114.18.159        TCP        443             61198          
10.114.18.159        3.140.85.105         TCP        61198           443            
10.114.18.159        3.140.85.105         TCP        61198           443            
3.140.85.105         10.114.18.159        TCP        443             61198          
3.140.85.105         10.114.18.159        TCP        443             61198          
3.140.85.105         10.114.18.159        TCP        443             61198          
